学科代码,学科名称,评估结果,院校,评估轮次,公布年份
0101,哲学,A+,北京大学,第四轮,2017
0101,哲学,A+,复旦大学,第四轮,2017
0101,哲学,A,中国人民大学,第四轮,2017
0101,哲学,A,南京大学,第四轮,2017
0101,哲学,A-,中山大学,第四轮,2017
0101,哲学,A-,北京师范大学,第四轮,2017
0101,哲学,A-,吉林大学,第四轮,2017
0101,哲学,A-,武汉大学,第四轮,2017
0101,哲学,B+,东南大学,第四轮,2017
0101,哲学,B+,华东师范大学,第四轮,2017
0101,哲学,B+,华中科技大学,第四轮,2017
0101,哲学,B+,南开大学,第四轮,2017
0101,哲学,B+,山东大学,第四轮,2017
0101,哲学,B+,浙江大学,第四轮,2017
0101,哲学,B+,清华大学,第四轮,2017
0101,哲学,B+,黑龙江大学,第四轮,2017
0201,理论经济学,A+,中国人民大学,第四轮,2017
0201,理论经济学,A+,复旦大学,第四轮,2017
0201,理论经济学,A,北京大学,第四轮,2017
0201,理论经济学,A,南开大学,第四轮,2017
0201,理论经济学,A-,北京师范大学,第四轮,2017
0201,理论经济学,A-,南京大学,第四轮,2017
0201,理论经济学,A-,武汉大学,第四轮,2017
0201,理论经济学,A-,浙江大学,第四轮,2017
0201,理论经济学,A-,西北大学,第四轮,2017
0201,理论经济学,B+,上海财经大学,第四轮,2017
0201,理论经济学,B+,中央财经大学,第四轮,2017
0201,理论经济学,B+,中山大学,第四轮,2017
0201,理论经济学,B+,华中科技大学,第四轮,2017
0201,理论经济学,B+,厦门大学,第四轮,2017
0201,理论经济学,B+,吉林大学,第四轮,2017
0201,理论经济学,B+,山东大学,第四轮,2017
0201,理论经济学,B+,清华大学,第四轮,2017
0201,理论经济学,B+,西南财经大学,第四轮,2017
0202,应用经济学,A+,中国人民大学,第四轮,2017
0202,应用经济学,A+,中央财经大学,第四轮,2017
0202,应用经济学,A+,北京大学,第四轮,2017
0202,应用经济学,A,上海财经大学,第四轮,2017
0202,应用经济学,A,东北财经大学,第四轮,2017
0202,应用经济学,A,厦门大学,第四轮,2017
0202,应用经济学,A,对外经济贸易大学,第四轮,2017
0202,应用经济学,A-,中南财经政法大学,第四轮,2017
0202,应用经济学,A-,南开大学,第四轮,2017
0202,应用经济学,A-,复旦大学,第四轮,2017
0202,应用经济学,A-,山东大学,第四轮,2017
0202,应用经济学,A-,江西财经大学,第四轮,2017
0202,应用经济学,A-,清华大学,第四轮,2017
0202,应用经济学,A-,西南财经大学,第四轮,2017
0202,应用经济学,A-,西安交通大学,第四轮,2017
0202,应用经济学,B+,东南大学,第四轮,2017
0202,应用经济学,B+,中山大学,第四轮,2017
0202,应用经济学,B+,北京交通大学,第四轮,2017
0202,应用经济学,B+,华中科技大学,第四轮,2017
0202,应用经济学,B+,南京大学,第四轮,2017
0202,应用经济学,B+,吉林大学,第四轮,2017
0202,应用经济学,B+,天津财经大学,第四轮,2017
0202,应用经济学,B+,山东财经大学,第四轮,2017
0202,应用经济学,B+,暨南大学,第四轮,2017
0202,应用经济学,B+,武汉大学,第四轮,2017
0202,应用经济学,B+,浙江大学,第四轮,2017
0202,应用经济学,B+,浙江工商大学,第四轮,2017
0202,应用经济学,B+,浙江财经大学,第四轮,2017
0202,应用经济学,B+,湖南大学,第四轮,2017
0202,应用经济学,B+,辽宁大学,第四轮,2017
0202,应用经济学,B+,首都经济贸易大学,第四轮,2017
0301,法学,A+,中国人民大学,第四轮,2017
0301,法学,A+,中国政法大学,第四轮,2017
0301,法学,A,北京大学,第四轮,2017
0301,法学,A,华东政法大学,第四轮,2017
0301,法学,A,武汉大学,第四轮,2017
0301,法学,A,清华大学,第四轮,2017
0301,法学,A,西南政法大学,第四轮,2017
0301,法学,A-,上海交通大学,第四轮,2017
0301,法学,A-,中南财经政法大学,第四轮,2017
0301,法学,A-,南京大学,第四轮,2017
0301,法学,A-,厦门大学,第四轮,2017
0301,法学,A-,吉林大学,第四轮,2017
0301,法学,A-,对外经济贸易大学,第四轮,2017
0301,法学,A-,浙江大学,第四轮,2017
0301,法学,B+,中南大学,第四轮,2017
0301,法学,B+,中山大学,第四轮,2017
0301,法学,B+,北京师范大学,第四轮,2017
0301,法学,B+,北京航空航天大学,第四轮,2017
0301,法学,B+,南京师范大学,第四轮,2017
0301,法学,B+,南开大学,第四轮,2017
0301,法学,B+,四川大学,第四轮,2017
0301,法学,B+,复旦大学,第四轮,2017
0301,法学,B+,山东大学,第四轮,2017
0301,法学,B+,湘潭大学,第四轮,2017
0301,法学,B+,苏州大学,第四轮,2017
0301,法学,B+,西北政法大学,第四轮,2017
0301,法学,B+,辽宁大学,第四轮,2017
0301,法学,B+,重庆大学,第四轮,2017
0302,政治学,A+,北京大学,第四轮,2017
0302,政治学,A+,复旦大学,第四轮,2017
0302,政治学,A,中国人民大学,第四轮,2017
0302,政治学,A-,华中师范大学,第四轮,2017
0302,政治学,A-,南开大学,第四轮,2017
0302,政治学,A-,吉林大学,第四轮,2017
0302,政治学,A-,清华大学,第四轮,2017
0302,政治学,B+,上海外国语大学,第四轮,2017
0302,政治学,B+,中国政法大学,第四轮,2017
0302,政治学,B+,云南大学,第四轮,2017
0302,政治学,B+,华东师范大学,第四轮,2017
0302,政治学,B+,南京大学,第四轮,2017
0302,政治学,B+,厦门大学,第四轮,2017
0302,政治学,B+,天津师范大学,第四轮,2017
0302,政治学,B+,山东大学,第四轮,2017
0303,社会学,A+,中国人民大学,第四轮,2017
0303,社会学,A+,北京大学,第四轮,2017
0303,社会学,A,南京大学,第四轮,2017
0303,社会学,A-,上海大学,第四轮,2017
0303,社会学,A-,复旦大学,第四轮,2017
0303,社会学,A-,清华大学,第四轮,2017
0303,社会学,B+,中央民族大学,第四轮,2017
0303,社会学,B+,中山大学,第四轮,2017
0303,社会学,B+,华东师范大学,第四轮,2017
