rank,name,province,type,score
1,清华大学,北京,综合,1087.1
2,北京大学,北京,综合,1036.3
3,浙江大学,浙江,综合,895.6
4,上海交通大学,上海,综合,894.2
5,复旦大学,上海,综合,792.4
6,南京大学,江苏,综合,708.5
7,中国科学技术大学,安徽,理工,653.1
8,武汉大学,湖北,综合,638.7
9,华中科技大学,湖北,综合,638
10,西安交通大学,陕西,综合,620.8
11,北京航空航天大学,北京,理工,612.8
12,哈尔滨工业大学,黑龙江,理工,607.7
13,中山大学,广东,综合,597.6
14,北京理工大学,北京,理工,595.4
15,东南大学,江苏,综合,592.3
16,四川大学,四川,综合,581.3
17,中国人民大学,北京,综合,558.1
18,同济大学,上海,综合,556.6
19,北京师范大学,北京,师范,553.2
20,天津大学,天津,理工,544.2
21,南开大学,天津,综合,528.8
22,山东大学,山东,综合,527.1
23,西北工业大学,陕西,理工,519.2
24,中国农业大学,北京,农业,519.1
25,厦门大学,福建,综合,512.5
26,吉林大学,吉林,综合,498.2
27,中南大学,湖南,综合,497
28,大连理工大学,辽宁,理工,495.4
29,华东师范大学,上海,师范,469.1
30,南方科技大学,广东,综合,466.9
31,湖南大学,湖南,综合,464.1
32,华南理工大学,广东,理工,456.4
33,电子科技大学,四川,理工,453.6
34,重庆大学,重庆,综合,436
35,北京科技大学,北京,理工,429.3
36,南京理工大学,江苏,理工,419.3
37,南京航空航天大学,江苏,理工,417.4
38,东北大学,辽宁,理工,398.7
39,西安电子科技大学,陕西,理工,391.5
40,兰州大学,甘肃,综合,388.4
41,北京交通大学,北京,理工,381.1
42,华东理工大学,上海,理工,380.4
43,哈尔滨工程大学,黑龙江,理工,380.1
44,郑州大学,河南,综合,380
45,华中农业大学,湖北,农业,375.6
46,苏州大学,江苏,综合,374.4
47,上海科技大学,上海,综合,373.4
48,东北师范大学,吉林,师范,372.4
49,西南交通大学,四川,理工,366.3
50,北京邮电大学,北京,理工,360.3
51,中国海洋大学,山东,综合,359.2
52,江南大学,江苏,综合,355.8
53,华中师范大学,湖北,师范,355.1
54,武汉理工大学,湖北,理工,351.9
55,南京农业大学,江苏,农业,350.9
56,中国地质大学（武汉）,湖北,理工,350.8
57,北京化工大学,北京,理工,345
58,南京师范大学,江苏,师范,344.4
59,暨南大学,广东,综合,343.5
60,上海大学,上海,综合,343.3
61,西南大学,重庆,综合,343
62,中国石油大学（北京）,北京,理工,342.7
63,河海大学,江苏,理工,342
63,陕西师范大学,陕西,师范,342
65,北京工业大学,北京,理工,341.5
66,深圳大学,广东,综合,341.4
67,中国矿业大学,江苏,理工,335.7
68,浙江工业大学,浙江,理工,334.4
69,西北农林科技大学,陕西,农业,330.7
70,西北大学,陕西,综合,329.7
71,云南大学,云南,综合,325.8
72,东华大学,上海,理工,317.4
73,中国石油大学（华东）,山东,理工,316.3
74,南昌大学,江西,综合,314.5
75,中国地质大学（北京）,北京,理工,314.2
76,中国矿业大学（北京）,北京,理工,313.7
77,福州大学,福建,理工,310.5
78,宁波大学,浙江,综合,310.3
79,华南师范大学,广东,师范,306.6
80,合肥工业大学,安徽,理工,304.8
81,江苏大学,江苏,综合,301.3
82,南京邮电大学,江苏,理工,297.9
83,北京林业大学,北京,林业,294.9
84,华北电力大学,北京,理工,293.5
85,贵州大学,贵州,综合,291.1
86,广西大学,广西,综合,288.9
87,海南大学,海南,综合,286.9
88,南京工业大学,江苏,理工,285.2
89,长安大学,陕西,理工,282.7
90,福建师范大学,福建,师范,282.5
91,浙江师范大学,浙江,师范,282.2
92,湖南师范大学,湖南,师范,280.5
93,南京林业大学,江苏,林业,280.3
93,扬州大学,江苏,综合,280.3
95,河南大学,河南,综合,279.1
96,广东工业大学,广东,理工,276.1
97,太原理工大学,山西,理工,275.7
98,南京信息工程大学,江苏,理工,275.1
99,杭州电子科技大学,浙江,理工,274.6
100,首都师范大学,北京,师范,273.4
